Country Code,Country Name,Region,Income Group,Cluster,Cluster Label,LPI_Overall
TZA,Tanzania,Sub-Saharan Africa,Low income,1,Mid-Low Performers,2.990185
UGA,Uganda,Sub-Saharan Africa,Low income,1,Mid-Low Performers,2.575405
UKR,Ukraine,Europe & Central Asia,Lower middle income,1,Mid-Low Performers,2.7
URY,Uruguay,Latin America & Caribbean,High income,1,Mid-Low Performers,3.0
USA,United States,North America,High income,2,High Performers,3.8
UZB,Uzbekistan,Europe & Central Asia,Lower middle income,1,Mid-Low Performers,2.6
VEN,"Venezuela, RB",Latin America & Caribbean,Upper middle income,3,Low Performers,2.3
VNM,Vietnam,East Asia & Pacific,Lower middle income,0,Mid-High Performers,3.3
YEM,"Yemen, Rep.",Middle East & North Africa,Lower middle income,3,Low Performers,2.2
ZAF,South Africa,Sub-Saharan Africa,Upper middle income,2,High Performers,3.7
ZMB,Zambia,Sub-Saharan Africa,Lower middle income,1,Mid-Low Performers,2.526313
ZWE,Zimbabwe,Sub-Saharan Africa,Low income,3,Low Performers,2.5
